attendance,previous_marks,study_hours,exam_score
65,66,9,81.4
53,48,5,47.5
86,84,7,80.3
70,62,7,64.9
63,87,3,65.7
80,58,7,67.0
97,56,1,62.1
67,64,9,82.1
56,97,10,80.2
59,38,6,48.8
56,93,5,79.2
82,42,7,62.1
72,46,5,65.3
70,65,10,68.2
68,68,5,54.0
97,83,10,100.0
68,91,7,88.3
85,60,10,76.4
78,52,7,66.5
67,72,3,65.1
51,84,3,63.5
50,42,10,61.3
96,75,3,74.5
54,40,6,60.6
69,78,6,80.0
60,98,3,85.1
91,63,3,58.2
51,62,8,65.1
52,45,8,59.0
72,99,7,80.3
61,53,10,75.3
69,43,4,54.1
54,61,4,55.2
86,68,3,65.5
87,78,5,83.4
79,49,3,50.2
58,85,8,87.7
83,47,7,62.8
93,83,3,80.2
84,90,9,93.4
71,85,5,88.2
93,71,9,80.4
73,51,7,60.9
66,92,7,77.1
59,63,6,58.9
79,67,2,65.2
95,94,9,100.0
72,89,6,86.1
81,44,8,64.4
66,81,1,59.1
99,57,5,73.1
100,55,1,53.0
66,47,10,60.6
63,67,8,71.1
58,58,8,56.2
89,45,1,42.6
51,51,9,72.7
94,81,2,65.2
74,59,9,67.5
88,55,1,55.1
58,46,10,65.4
71,71,9,78.1
92,76,4,64.8
95,51,9,78.5
53,82,7,73.6
75,62,6,74.0
78,75,5,70.0
94,81,9,95.5
83,52,2,60.8
72,47,2,46.5
86,47,9,74.3
60,65,3,51.6
55,36,8,54.9
67,50,9,72.9
70,43,8,63.7
91,72,4,84.4
85,88,1,75.0
90,90,4,80.2
87,79,9,100.0
83,68,2,71.3
66,43,3,39.6
86,42,10,65.7
74,41,8,55.9
87,70,6,78.5
61,52,8,66.7
72,37,7,58.7
91,62,5,61.2
71,78,9,80.0
70,55,4,57.0
76,62,6,59.0
80,88,2,69.0
55,88,2,73.9
76,99,2,70.7
89,55,10,84.8
83,47,7,69.6
61,91,2,68.8
94,83,2,70.9
56,88,9,89.1
59,44,7,52.5
94,87,3,75.2
66,78,3,66.8
75,81,7,70.1
70,87,5,70.6
77,80,10,86.7
95,47,6,67.0
51,71,8,67.8
92,58,9,76.4
50,36,1,26.7
100,48,3,63.6
85,44,7,64.1
100,69,6,79.5
75,59,7,71.1
78,37,8,60.2
70,51,6,58.1
60,46,3,53.4
89,88,2,76.4
60,58,7,63.6
85,63,1,58.4
98,77,3,74.2
88,59,4,63.6
89,94,1,78.7
84,99,5,83.3
83,62,10,75.5
96,50,3,61.8
73,81,2,67.1
71,92,3,80.7
54,61,8,69.1
82,87,6,80.6
85,76,7,83.4
96,93,6,96.1
69,81,6,79.0
68,68,3,65.2
84,71,8,79.2
92,40,7,67.5
66,41,7,53.6
94,59,6,72.6
92,67,5,85.2
83,89,10,97.4
58,92,8,83.0
75,41,5,51.7
51,91,9,84.9
58,46,9,66.6
58,50,1,45.2
89,77,6,76.4
66,41,7,53.3
50,85,3,67.5
74,66,7,72.5
92,42,7,65.9
89,79,2,75.3
91,93,7,100.0
74,38,1,34.6
88,63,5,72.6
84,63,9,78.6
52,62,7,55.4
99,78,7,91.4
86,38,2,49.5
93,43,8,70.9
93,39,3,43.7
100,90,8,93.4
79,84,3,68.1
87,49,10,84.5
83,66,7,80.3
61,62,2,50.9
68,56,4,50.1
86,51,6,65.5
93,93,9,100.0
98,91,5,78.4
66,60,9,67.3
59,59,5,54.2
98,44,10,78.0
96,79,8,85.6
61,45,1,40.9
65,87,7,82.5
73,62,4,58.0
68,99,5,76.7
57,83,6,81.7
80,81,5,84.4
70,86,1,68.2
66,88,9,88.7
72,94,2,81.0
86,91,9,94.8
65,81,10,83.7
55,65,2,54.7
57,80,9,87.7
74,60,6,66.8
67,39,9,57.4
74,86,6,81.5
61,88,6,81.9
64,67,2,60.5
75,84,8,87.7
90,72,3,65.5
94,61,7,78.4
75,49,5,58.3
96,95,3,80.2
81,55,1,56.8
59,80,8,76.5
65,40,3,37.9
56,72,2,53.6
66,96,1,70.9
72,96,4,83.7
75,80,8,78.4
70,47,3,49.6
71,37,1,34.5
56,40,4,50.9
63,42,9,69.9
64,78,1,69.4
56,67,2,60.7
58,84,9,87.5
100,45,2,44.4
97,62,3,66.7
57,75,7,70.5
99,50,3,64.2
72,82,9,72.9
78,90,6,85.0
67,98,3,77.1
80,93,9,99.2
79,96,1,82.8
88,45,10,67.1
84,52,3,52.7
67,53,1,49.6
91,89,2,85.4
88,60,8,75.3
66,40,7,49.6
63,38,2,38.6
80,63,2,60.7
73,93,9,93.1
84,51,6,60.5
93,77,5,75.0
94,100,10,98.6
83,68,6,78.9
52,42,9,54.4
86,47,7,62.5
92,42,10,68.6
89,99,10,93.7
75,77,9,79.3
72,73,4,74.3
93,93,2,73.4
88,78,8,80.1
64,43,4,43.0
98,71,9,85.6
53,70,4,71.2
78,62,8,72.9
71,76,9,82.4
74,77,9,79.4
62,76,10,82.0
67,100,4,87.9
82,89,1,72.7
65,82,3,79.5
94,56,9,83.1
91,61,4,65.9
93,47,5,61.1
51,79,7,81.9
84,44,5,58.4
91,43,4,63.4
83,88,2,84.2
79,61,2,57.3
62,68,4,64.7
62,35,10,64.7
67,66,10,81.9
81,54,9,76.3
81,69,8,71.5
84,51,3,52.3
88,52,9,70.6
95,79,5,85.8
78,87,3,68.7
98,99,5,99.1
78,35,10,67.6
93,92,4,89.6
65,60,8,64.6
93,54,5,65.8
96,44,10,74.7
59,93,8,87.2
79,75,9,85.0
74,39,4,48.6
88,99,7,94.6
69,51,2,55.5
54,56,6,53.5
50,75,8,81.5
79,45,7,66.9
98,90,7,86.7
52,85,8,81.7
94,55,7,75.8
63,60,5,55.1
79,53,7,66.6
99,94,10,100.0
53,81,3,62.1
67,60,5,62.7
86,74,7,76.7
74,39,9,69.3
97,55,2,56.4
50,38,4,47.4
95,57,7,64.3
64,49,1,44.6
58,42,2,42.7
64,75,9,78.8
98,53,10,76.7
73,80,7,76.4
53,62,10,76.1
61,49,7,64.7
86,71,6,75.1
86,35,3,42.8
92,58,10,88.9
55,61,3,50.4
88,74,2,60.4
95,97,6,82.0
73,95,4,81.0
60,70,5,64.9
62,58,3,60.1
83,58,6,70.7
74,38,3,48.4
56,68,8,70.0
53,91,9,91.3
57,83,4,79.2
69,87,9,92.6
78,57,7,66.0
100,87,3,84.3
94,96,7,91.8
95,75,1,62.0
59,91,3,67.8
92,94,6,87.9
83,88,4,79.7
75,91,7,96.6
90,44,3,49.8
98,74,1,74.3
52,41,9,56.5
55,72,6,58.3
54,95,8,83.2
54,37,3,47.2
96,85,8,92.5
72,81,2,69.6
98,72,4,80.7
58,70,3,55.3
84,75,10,82.0
69,47,1,34.3
98,92,7,97.0
91,84,10,96.8
84,64,2,64.8
99,96,4,81.6
67,59,9,63.7
66,61,6,58.5
73,85,8,80.4
52,91,2,75.8
81,81,7,87.3
84,73,6,73.9
87,50,9,73.2
62,56,7,60.4
96,88,1,76.7
74,55,8,63.1
58,50,10,70.8
53,93,3,67.7
63,65,2,60.5
86,76,3,68.7
83,66,6,68.1
60,93,3,81.7
90,68,10,85.8
52,43,5,47.5
77,45,6,62.8
78,44,8,57.0
58,51,7,65.6
52,82,8,77.4
74,86,3,76.3
83,59,4,55.5
61,55,6,58.6
91,99,7,94.7
58,97,9,95.5
64,85,1,68.7
89,70,8,78.8
74,100,8,95.1
54,49,6,61.7
60,73,4,64.2
83,35,3,46.0
73,57,3,47.7
64,73,6,69.8
87,91,8,83.1
57,68,7,68.6
54,75,1,62.2
97,47,6,54.5
75,40,7,64.4
67,86,7,79.9
55,37,9,56.5
86,97,10,97.3
97,83,5,73.8
62,81,1,58.6
77,89,2,83.7
54,98,4,71.9
62,99,5,74.5
66,49,9,66.7
99,66,1,63.1
89,52,3,56.7
94,77,5,78.4
81,69,3,68.9
78,92,4,77.2
100,67,3,70.3
52,48,4,54.5
89,68,1,57.2
83,95,8,81.4
89,38,4,56.5
76,93,7,100.0
62,63,2,55.1
94,40,2,51.5
82,83,6,79.7
55,74,2,67.4
73,99,6,87.3
68,61,2,54.6
65,40,4,52.8
89,47,7,63.2
77,98,8,86.7
82,96,3,85.2
97,53,9,72.9
90,77,2,65.0
62,54,8,75.7
92,78,8,85.0
94,57,4,67.3
74,36,1,40.9
91,56,1,51.6
85,91,2,79.7
76,41,9,65.6
87,90,2,73.0
56,50,2,48.7
54,85,6,72.7
92,46,7,60.3
94,87,7,82.8
100,39,9,70.3
80,61,6,66.6
72,46,8,70.8
91,51,6,65.6
59,40,2,37.8
81,39,1,45.0
92,91,5,79.1
79,62,9,75.9
88,93,8,94.7
80,67,4,67.8
67,96,5,88.6
85,84,5,92.9
51,53,6,60.3
63,100,3,84.1
62,81,5,85.3
78,73,2,59.6
61,67,10,77.8
88,47,1,48.0
51,88,1,67.9
81,41,10,69.2
62,48,7,55.3
95,53,2,58.0
76,88,4,82.6
98,54,5,60.2
90,63,7,70.7
66,58,2,48.7
89,97,6,92.2
80,91,1,78.8
83,42,7,51.3
73,96,9,94.0
94,63,5,66.0
84,51,5,66.6
97,100,4,88.1
55,40,3,43.9
68,92,9,90.1
79,62,5,72.0
56,96,8,97.0
59,75,9,72.8
90,75,5,71.5
81,83,10,92.5
83,83,9,84.8
77,37,2,49.3
64,44,9,68.2
79,69,4,65.0
86,36,6,52.5
78,58,6,65.0
71,72,6,72.9
53,56,2,50.6
69,60,7,56.5
81,77,6,72.8
85,89,1,70.7
99,73,2,65.9
53,63,7,51.1
76,54,1,41.8
66,75,1,53.7
61,88,1,65.6
71,54,8,65.3
66,53,4,52.5
59,100,4,83.7
50,64,2,56.7
71,87,1,68.8
75,68,10,81.8
67,56,9,65.8
99,40,7,60.6
63,61,4,50.8
96,44,6,61.9
78,82,2,73.5
61,93,7,90.7
85,93,2,76.2
84,36,10,68.3
61,63,8,55.6
56,99,8,86.3
78,60,1,52.7
60,44,8,66.7
82,87,2,75.3
55,93,6,82.4
96,56,1,59.5
64,85,5,75.5
81,82,7,90.5
100,55,10,68.7
60,56,1,49.0
72,64,2,63.8
75,59,7,59.2
83,62,6,74.0
95,99,3,81.9
83,79,10,89.7
78,41,2,43.1
53,83,10,88.7
66,43,4,48.7
84,70,3,71.2
62,35,7,54.4
90,44,8,62.7
88,70,2,68.0
64,80,10,81.7
78,66,7,73.6
78,66,8,74.3
60,40,6,56.5
81,82,6,83.1
51,72,10,77.2
96,51,1,51.1
63,61,4,53.0
69,88,1,68.8
71,84,4,70.8
60,69,2,48.6
76,59,5,57.3
52,62,10,80.2
66,49,9,62.7
93,38,10,74.6
77,61,3,58.5
78,60,8,78.7
70,53,3,60.0
96,51,6,62.9
65,77,4,58.7
86,75,8,73.2
69,76,6,70.0
55,84,8,89.4
68,74,1,58.1
54,73,6,69.4
52,57,1,53.4
50,86,1,62.9
87,81,8,86.7
64,97,7,90.0
83,77,3,72.0
84,82,6,80.6
98,68,9,80.8
74,74,7,77.1
73,95,3,83.5
61,84,6,85.4
67,96,4,81.0
64,92,3,77.9
93,67,9,83.9
65,50,10,68.3
76,82,2,71.7
57,44,1,46.9
95,72,2,63.9
74,53,7,57.9
66,70,10,77.3
78,93,1,74.2
57,97,6,86.9
64,80,7,72.6
76,37,9,49.4
95,99,8,95.7
99,42,6,61.9
56,85,3,62.4
52,40,8,51.2
78,73,7,81.5
93,94,3,82.8
73,62,9,76.6
52,88,2,64.6
69,71,3,60.0
95,43,2,50.6
64,90,1,70.5
74,93,4,72.2
79,36,5,60.3
63,95,6,85.9
56,92,5,74.4
66,94,1,74.8
93,74,3,77.6
69,70,1,56.6
85,71,5,71.7
58,52,5,63.1
87,97,6,100.0
97,56,8,75.2
71,45,10,61.7
51,92,1,63.5
73,91,4,83.5
57,38,10,55.0
60,41,1,39.0
62,95,9,91.7
66,88,7,77.8
57,35,7,56.5
70,89,5,82.4
67,37,7,64.6
79,72,2,68.3
67,35,4,41.2
95,72,7,83.5
96,63,3,71.1
80,39,2,51.6
87,55,10,73.1
81,81,2,65.3
60,69,1,49.8
94,35,5,63.3
